,Volcano_Number,geo_x,geo_y,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type,Erupting,Last_Activity_Year,geometry,region_name
0,241040,177.18,-37.52,Whakaari/White Island,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-37.52,177.18,294,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (177.18 -37.52),Cluster_2
1,241050,176.5069,-38.1569,Okataina,Lava dome(s),New Zealand,Tonga-Kermadec Volcanic Regions,-38.1569,176.5069,1111,Subduction zone / Continental crust (> 25 km),Eruption Observed,Rhyolite,True,1981,POINT (176.5069 -38.1569),Cluster_2
2,241080,175.632,-39.157,Tongariro,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-39.157,175.632,1978,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2012,POINT (175.632 -39.157),Cluster_2
3,241100,175.57,-39.28,Ruapehu,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-39.28,175.57,2797,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2007,POINT (175.57 -39.28),Cluster_2
4,242030,182.08,-29.27,Raoul Island,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-29.27,-177.92,516,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2006,POINT (-177.92 -29.27),Cluster_2
5,242050,182.812,-25.887,Monowai,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-25.887,-177.188,-132,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,True,2014,POINT (-177.188 -25.887),Cluster_2
6,243030,184.45,-20.852,Unnamed,Stratovolcano(es),Tonga,Tonga-Kermadec Volcanic Regions,-20.852,-175.55,-296,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,unknown,True,1999,POINT (-175.55 -20.852),Cluster_2
7,243040,184.6159,-20.5532,Hunga Tonga-Hunga Ha'apai,Caldera,Tonga,Tonga-Kermadec Volcanic Regions,-20.5532,-175.3841,114,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2015,POINT (-175.3841 -20.5532),Cluster_2
8,243060,184.93,-19.75,Tofua,Caldera,Tonga,Tonga-Kermadec Volcanic Regions,-19.75,-175.07,515,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2014,POINT (-175.07 -19.75),Cluster_2
9,243070,185.13,-19.18,Lateiki,Stratovolcano(es),Tonga,Tonga-Kermadec Volcanic Regions,-19.18,-174.87,43,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,2019,POINT (-174.87 -19.18),Cluster_2
10,243080,185.225,-18.992,Home Reef,Stratovolcano(es),Tonga,Tonga-Kermadec Volcanic Regions,-18.992,-174.775,-10,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,2006,POINT (-174.775 -18.992),Cluster_2
11,243091,185.635,-18.325,Unnamed,Stratovolcano(es),Tonga,Tonga-Kermadec Volcanic Regions,-18.325,-174.365,-40,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,2019,POINT (-174.365 -18.325),Cluster_2
12,243102,186.33,-15.62,Curacoa,Complex,Tonga,Tonga-Kermadec Volcanic Regions,-15.62,-173.67,-33,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,1979,POINT (-173.67 -15.62),Cluster_2
13,243100,185.683,-18.023,Fonualei,Stratovolcano(es),Tonga,Tonga-Kermadec Volcanic Regions,-18.023,-174.317,188,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,1974,POINT (-174.317 -18.023),Cluster_2
27,257020,167.514,-14.281,Gaua,Stratovolcano(es),Vanuatu,Southwest Pacific Volcanic Regions,-14.281,167.514,729,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2011,POINT (167.514 -14.281),Cluster_2
28,257030,167.835,-15.389,Ambae,Shield(s),Vanuatu,Southwest Pacific Volcanic Regions,-15.389,167.835,1496,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,True,2018,POINT (167.835 -15.389),Cluster_2
29,257040,168.12,-16.25,Ambrym,Shield(s),Vanuatu,Southwest Pacific Volcanic Regions,-16.25,168.12,1334,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,True,2018,POINT (168.12 -16.25),Cluster_2
30,257050,168.346,-16.507,Lopevi,Stratovolcano(es),Vanuatu,Southwest Pacific Volcanic Regions,-16.507,168.346,1413,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,True,2008,POINT (168.346 -16.507),Cluster_2
31,257060,168.3893,-16.6797,East Epi,Stratovolcano(es),Vanuatu,Southwest Pacific Volcanic Regions,-16.6797,168.3893,833,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,True,2004,POINT (168.3893 -16.6797),Cluster_2
32,257070,168.5227,-16.8304,Kuwae,Caldera,Vanuatu,Southwest Pacific Volcanic Regions,-16.8304,168.5227,-2,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,True,1971,POINT (168.5227 -16.8304),Cluster_2
33,258001,170.13,-20.957,Gemini-Oscostar,Stratovolcano(es),Vanuatu,Southwest Pacific Volcanic Regions,-20.957,170.13,-33,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,True,1996,POINT (170.13 -20.957),Cluster_2
34,258010,171.32,-22.33,Matthew Island,Stratovolcano(es),France - claimed by Vanuatu,Southwest Pacific Volcanic Regions,-22.33,171.32,177,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,True,1976,POINT (171.32 -22.33),Cluster_2
200,242005,180.967,-31.08,Havre Seamount,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-31.08,-179.033,-897,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,unknown,True,2012,POINT (-179.033 -31.08),Cluster_2
