,Unnamed: 0,Volcano_Number,geo_x,geo_y,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type,Erupting,Last_Activity_Year,geometry
0,167,351020,284.676,4.892,"Ruiz, Nevado del",Stratovolcano(es),Colombia,South America Volcanic Regions,4.892,-75.324,5279,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (-75.324 4.892)
1,168,351050,283.97,2.93,"Huila, Nevado del",Stratovolcano(es),Colombia,South America Volcanic Regions,2.93,-76.03,5364,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2012,POINT (-76.03 2.93)
2,169,351060,283.6,2.32,Purace,Stratovolcano(es),Colombia,South America Volcanic Regions,2.32,-76.4,4650,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1977,POINT (-76.4 2.32)
3,170,351080,282.63,1.22,Galeras,Complex,Colombia,South America Volcanic Regions,1.22,-77.37,4276,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2014,POINT (-77.37 1.22)
4,171,352010,282.344,-0.077,Reventador,Stratovolcano(es),Ecuador,South America Volcanic Regions,-0.077,-77.656,3562,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (-77.656 -0.077)
5,172,352020,281.402,-0.171,Guagua Pichincha,Stratovolcano(es),Ecuador,South America Volcanic Regions,-0.171,-78.598,4784,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2009,POINT (-78.598 -0.171)
6,173,352050,281.564,-0.677,Cotopaxi,Stratovolcano(es),Ecuador,South America Volcanic Regions,-0.677,-78.436,5911,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2016,POINT (-78.436 -0.677)
7,174,352080,281.558,-1.467,Tungurahua,Stratovolcano(es),Ecuador,South America Volcanic Regions,-1.467,-78.442,5023,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2016,POINT (-78.442 -1.467)
8,175,352090,281.659,-2.005,Sangay,Stratovolcano(es),Ecuador,South America Volcanic Regions,-2.005,-78.341,5286,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (-78.341 -2.005)
9,176,354006,288.14300000000003,-15.787,Sabancaya,Stratovolcano(es),Peru,South America Volcanic Regions,-15.787,-71.857,5960,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (-71.857 -15.787)
10,177,354010,288.591,-16.294,"Misti, El",Stratovolcano(es),Peru,South America Volcanic Regions,-16.294,-71.409,5822,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1985,POINT (-71.409 -16.294)
11,178,354020,289.1028,-16.345,Ubinas,Stratovolcano(es),Peru,South America Volcanic Regions,-16.345,-70.8972,5608,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (-70.8972 -16.345)
