,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
53,283170,17913,Confirmed Eruption,1,Observations: Reported,1996,9,1,1996,9,1,1996-09-01,1996-09-01
54,283180,17937,Confirmed Eruption,1,Observations: Reported,1977,12,7,1977,12,7,1977-12-07,1977-12-07
109,284010,18241,Confirmed Eruption,1,Observations: Reported,1974,2,28,1974,6,20,1974-02-28,1974-06-20
110,284010,18242,Confirmed Eruption,3,Observations: Reported,1986,11,15,1986,12,18,1986-11-15,1986-12-18
111,284010,18243,Confirmed Eruption,2,Observations: Reported,1987,11,16,1988,1,27,1987-11-16,1988-01-27
112,284010,18244,Confirmed Eruption,2,Observations: Reported,1990,10,4,1990,10,4,1990-10-04,1990-10-04
113,284010,18238,Confirmed Eruption,1,Observations: Reported,1970,1,26,1970,1,31,1970-01-26,1970-01-31
114,284010,18239,Confirmed Eruption,1,Observations: Reported,1970,6,30,1970,11,12,1970-06-30,1970-11-12
115,284010,18240,Confirmed Eruption,1,Observations: Reported,1971,4,5,1971,4,5,1971-04-05,1971-04-05
117,284193,18529,Confirmed Eruption,3,Observations: Reported,2010,5,27,2010,5,29,2010-05-27,2010-05-29
140,282030,16945,Confirmed Eruption,2,Observations: Reported,2000,2,24,2000,2,24,2000-02-24,2000-02-24
141,282030,16946,Confirmed Eruption,3,Observations: Reported,2000,12,19,2004,7,5,2000-12-19,2004-07-05
142,282030,16947,Confirmed Eruption,2,Observations: Reported,2004,10,23,2024,12,19,2004-10-23,2024-12-19
143,282030,16939,Confirmed Eruption,2,Observations: Reported,1985,9,16,1987,6,16,1985-09-16,1987-06-16
144,282030,16940,Confirmed Eruption,2,Observations: Reported,1988,1,16,1989,12,16,1988-01-16,1989-12-16
145,282030,16941,Confirmed Eruption,2,Observations: Reported,1990,4,16,1996,7,14,1990-04-16,1996-07-14
146,282030,16942,Confirmed Eruption,1,Observations: Reported,1996,12,26,1997,4,17,1996-12-26,1997-04-17
147,282030,16943,Confirmed Eruption,1,Observations: Reported,1999,1,5,1999,2,24,1999-01-05,1999-02-24
148,282030,16944,Confirmed Eruption,1,Observations: Reported,1999,6,15,1999,6,30,1999-06-15,1999-06-30
