,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
90,251050,14963,Confirmed Eruption,2,Observations: Reported,1973,4,16,1974,2,28,1973-04-16,1974-02-28
91,251050,14964,Confirmed Eruption,1,Observations: Reported,1976,1,2,1976,1,2,1976-01-02,1976-01-02
92,251050,14965,Confirmed Eruption,1,Observations: Reported,1993,11,3,1993,11,25,1993-11-03,1993-11-25
93,251070,14973,Confirmed Eruption,1,Observations: Reported,1972,10,9,1972,10,9,1972-10-09,1972-10-09
94,251070,14974,Confirmed Eruption,1,Observations: Reported,1974,10,17,1974,10,17,1974-10-17,1974-10-17
95,251070,14975,Uncertain Eruption,2,unknown,2002,8,2,2002,8,2,2002-08-02,2002-08-02
96,251070,14976,Confirmed Eruption,1,Observations: Reported,2006,10,17,2006,10,17,2006-10-17,2006-10-17
97,251070,14977,Confirmed Eruption,1,Observations: Reported,2007,5,19,2007,5,21,2007-05-19,2007-05-21
98,252010,14999,Confirmed Eruption,2,Observations: Reported,2004,1,20,2004,1,27,2004-01-20,2004-01-27
99,252010,15000,Confirmed Eruption,2,Observations: Reported,2004,11,24,2004,12,25,2004-11-24,2004-12-25
100,252010,15001,Confirmed Eruption,2,Observations: Reported,2005,4,19,2006,3,31,2005-04-19,2006-03-31
101,252010,15002,Confirmed Eruption,2,Observations: Reported,2006,8,9,2008,7,6,2006-08-09,2008-07-06
102,252010,15003,Confirmed Eruption,2,Observations: Reported,2009,9,16,2010,2,16,2009-09-16,2010-02-16
103,252010,22123,Confirmed Eruption,2,Observations: Reported,2015,10,22,2024,12,8,2015-10-22,2024-12-08
104,252010,14995,Confirmed Eruption,2,Observations: Reported,1970,5,20,1970,9,22,1970-05-20,1970-09-22
105,252010,14996,Confirmed Eruption,2,Observations: Reported,1971,1,26,1972,7,5,1971-01-26,1972-07-05
106,252010,14997,Confirmed Eruption,3,Observations: Reported,1973,2,24,2000,10,16,1973-02-24,2000-10-16
107,252010,20788,Confirmed Eruption,1,Observations: Reported,2012,12,1,2012,12,5,2012-12-01,2012-12-05
108,252010,14998,Confirmed Eruption,2,Observations: Reported,2002,5,25,2003,4,9,2002-05-25,2003-04-09
119,255020,15138,Confirmed Eruption,2,Observations: Reported,1972,7,2,1995,7,2,1972-07-02,1995-07-02
120,255020,15139,Confirmed Eruption,2,Observations: Reported,2000,2,28,2024,11,22,2000-02-28,2024-11-22
121,255020,15137,Confirmed Eruption,2,Observations: Reported,1970,5,21,1971,8,16,1970-05-21,1971-08-16
122,255060,20920,Confirmed Eruption,1,Observations: Satellite (visual),2014,1,29,2014,1,29,2014-01-29,2014-01-29
123,255060,15176,Confirmed Eruption,1,Observations: Reported,1999,2,16,1999,5,16,1999-02-16,1999-05-16
124,255060,15178,Confirmed Eruption,1,Observations: Reported,1999,11,16,2003,8,16,1999-11-16,2003-08-16
125,255060,15179,Confirmed Eruption,1,Observations: Reported,2004,3,15,2004,3,15,2004-03-15,2004-03-15
126,255060,15180,Confirmed Eruption,1,Observations: Reported,2007,4,2,2007,4,6,2007-04-02,2007-04-06
127,255060,15170,Confirmed Eruption,2,Observations: Reported,1982,4,7,1982,6,2,1982-04-07,1982-06-02
128,255060,15171,Confirmed Eruption,1,Observations: Reported,1985,12,9,1986,2,28,1985-12-09,1986-02-28
129,255060,15172,Confirmed Eruption,1,Observations: Reported,1986,7,5,1986,7,23,1986-07-05,1986-07-23
130,255060,15173,Confirmed Eruption,2,Observations: Reported,1991,5,4,1991,9,16,1991-05-04,1991-09-16
131,255060,15174,Confirmed Eruption,1,Observations: Reported,1997,1,16,1997,1,17,1997-01-16,1997-01-17
132,255060,15164,Confirmed Eruption,1,Observations: Reported,1976,8,24,1976,10,13,1976-08-24,1976-10-13
133,255060,15165,Confirmed Eruption,1,Observations: Reported,1977,2,22,1977,2,22,1977-02-22,1977-02-22
134,255060,15166,Confirmed Eruption,1,Observations: Reported,1977,7,17,1977,7,22,1977-07-17,1977-07-22
135,255060,15167,Confirmed Eruption,2,Observations: Reported,1978,6,21,1978,7,22,1978-06-21,1978-07-22
136,255060,15168,Confirmed Eruption,1,Observations: Reported,1980,10,7,1981,2,25,1980-10-07,1981-02-25
137,255060,15160,Confirmed Eruption,2,Observations: Reported,1969,10,28,1970,2,6,1969-10-28,1970-02-06
138,255060,15162,Confirmed Eruption,1,Observations: Reported,1974,11,12,1974,12,12,1974-11-12,1974-12-12
139,255060,15163,Confirmed Eruption,1,Observations: Reported,1975,8,16,1975,8,16,1975-08-16,1975-08-16
598,268060,22295,Confirmed Eruption,1,Observations: Reported,2018,10,4,2018,10,6,2018-10-04,2018-10-06
599,268060,20765,Confirmed Eruption,2,Observations: Reported,2011,12,5,2011,12,23,2011-12-05,2011-12-23
600,268060,20766,Confirmed Eruption,1,Observations: Reported,2012,9,15,2012,9,17,2012-09-15,2012-09-17
601,268060,16675,Confirmed Eruption,2,Observations: Reported,2003,7,31,2003,10,2,2003-07-31,2003-10-02
602,268060,16676,Uncertain Eruption,1,unknown,2007,8,23,2007,8,23,2007-08-23,2007-08-23
603,268060,16677,Uncertain Eruption,1,unknown,2008,5,10,2008,5,10,2008-05-10,2008-05-10
604,268060,20989,Confirmed Eruption,2,Observations: Reported,2014,12,18,2014,12,25,2014-12-18,2014-12-25
605,268060,21087,Confirmed Eruption,2,Observations: Reported,2015,7,16,2015,9,8,2015-07-16,2015-09-08
606,268060,22150,Confirmed Eruption,1,Observations: Reported,2016,8,3,2016,8,4,2016-08-03,2016-08-04
